source;target;weight
SCI_TOTAL_ENVIR;CONT_SHELF_RES;3
J_FISH_BIOL;AQUAT_BIOL;3
GEOPHYS_RES_LETT;GLOBAL_PLANET_CHANGE;3
GEOCHIM_COSMOCHIM_ACTA;HYDROL_PROCESS;3
NORTH_AM_J_FISH_MANAGE;J_FISH_BIOL;3
HYDROGEOL_J;J_ENVIRON_MANAGE;3
HYDROBIOLOGIA;ENVIRON_BIOL_FISH;3
WATER_RESOUR_MANAG;WATER_RESOUR_RES;3
MOL_ECOL;EVOLUTION;3
PALAEOGEOGR_PALAEOCLIMATOL;QUATERNARY_SCI_REV;3
GEOLOGY;GEOPHYS_RES_LETT;3
TRANS_AMER_FISH_SOC;NORTHWEST_SCI;3
ICES_J_MAR_SCI;J_MARINE_SYST;3
J_MARINE_SYST;LIMNOL_OCEANOGR;3
J_APPL_ECOL;HYDROBIOLOGIA;3
HYDROL_EARTH_SYST_SCI;ADV_WATER_RESOUR;3
MAR_ENVIRON_RES;MAR_POLLUT_BULL;3
BIOGEOCHEMISTRY;GEOPHYS_RES_LETT;3
FRESHWATER_BIOL;CONSERV_GENET;3
FOREST_ECOL_MANAGE;ECOSYSTEMS;3
HYDROL_EARTH_SYST_SCI;GEOPHYS_RES_LETT;3
PROG_PHYS_GEOG;GEOMORPHOLOGY;3
GEOMORPHOLOGY;J_QUATERNARY_SCI;3
J_HYDROL;GLOBAL_PLANET_CHANGE;3
BIOGEOSCIENCES;LIMNOL_OCEANOGR;3
FRESHWATER_BIOL;CONSERV_BIOL;3
ECOL_SOC;EVOL_APPL;3
WETLANDS;J_ENVIRON_QUAL;3
NAT_HAZARDS_EARTH_SYST_SCI;METEOROL_ATMOS_PHYS;3
HYDROBIOLOGIA;FISHERIES_MANAG_ECOL;3
J_AM_WATER_RESOUR_ASSOC;RIVER_RES_APPL;3
ECOSYSTEMS;WETLANDS;3
J_N_AMER_BENTHOL_SOC;INT_REV_HYDROBIOL;3
HYDROBIOLOGIA;ENVIRON_MANAGE;3
BIOL_INVASIONS;CONSERV_BIOL;3
ENVIRON_MODELL_SOFTW;HYDROL_PROCESS;3
ENVIRON_MANAGE;J_ENVIRON_QUAL;3
AQUAT_ECOL;HYDROBIOLOGIA;3
RIVER_RES_APPL;J_FRESHWATER_ECOL;3
SCI_TOTAL_ENVIR;MAR_POLLUT_BULL;3
ECOL_FRESHW_FISH;J_APPL_ICHTHYOL;3
J_APPL_ICHTHYOL;CONSERV_GENET;3
WATER_RES;ENVIRON_MODELL_SOFTW;3
ENVIRON_MONIT_ASSESS;ENVIRON_MANAGE;3
STOCH_ENVIRON_RES_RISK_ASSESS;J_HYDROL;3
FUNDAM_APPL_LIMNOL;RIVER_RES_APPL;3
HYDROL_RES;HYDROL_PROCESS;3
HYDROGEOL_J;ENVIRON_MONIT_ASSESS;3
TECTONOPHYSICS;GLOBAL_PLANET_CHANGE;3
QUATERNARY_SCI_REV;QUATERN_INT;3
SCI_TOTAL_ENVIR;ECOL_MODEL;3
J_HYDROL;FRESHWATER_BIOL;3
FUNDAM_APPL_LIMNOL;MAR_FRESHWATER_RES;3
LIMNOL_OCEANOGR;J_MARINE_SYST;3
HYDROBIOLOGIA;BIOL_INVASIONS;3
SENSORS;ENVIRON_MONIT_ASSESS;3
J_SOIL_WATER_CONSERV;WATER_RESOUR_RES;3
WATER_RES;MAR_CHEM;3
ENVIRON_POLLUT;BIOGEOCHEMISTRY;3
BIOGEOCHEMISTRY;ECOL_APPL;3
RIVER_RES_APPL;J_FISH_BIOL;3
GEOPHYS_RES_LETT;J_HYDROMETEOROL;3
CONT_SHELF_RES;ORG_GEOCHEM;3
BIOL_CONSERV;HYDROBIOLOGIA;3
MAR_POLLUT_BULL;CONT_SHELF_RES;3
ESTUAR_COAST_SHELF_SCI;J_PHYS_OCEANOGR;3
NORTH_AM_J_FISH_MANAGE;SOUTHEAST_NAT;3
HYDROBIOLOGIA;WATER_RES;3
ESTUAR_COAST_SHELF_SCI;J_SHELLFISH_RES;3
FRESHWATER_BIOL;FISHERIES;3
WATER_RES;ENVIRON_POLLUT;3
BIOGEOCHEMISTRY;ECOSYSTEMS;3
WATER_RES;WATER_RESOUR_RES;3
J_HYDROMETEOROL;GEOPHYS_RES_LETT;3
BIOGEOCHEMISTRY;FRESHWATER_BIOL;3
BIOGEOSCIENCES;MAR_CHEM;3
CHEM_GEOL;ENVIRON_SCI_TECHNOL;3
EARTH_SURF_PROCESS_LANDF;SEDIMENT_GEOL;3
HYDROGEOL_J;ENVIRON_GEOL;3
ECOL_APPL;FISHERIES;3
HYDROBIOLOGIA;ENVIRON_MONIT_ASSESS;3
GLOBAL_BIOGEOCHEM_CYCLE;ECOSYSTEMS;3
J_AM_WATER_RESOUR_ASSOC;GEOMORPHOLOGY;3
NEOTROP_ICHTHYOL;ECOL_FRESHW_FISH;3
FRESHWATER_BIOL;AQUAT_CONSERV;3
HYDROL_EARTH_SYST_SCI;J_HYDROL_ENG;3
FRESHWATER_BIOL;ECOL_FRESHW_FISH;3
ENVIRON_MANAGE;J_APPL_ECOL;3
